Agency,Sub Priority Area,MSRP Indicator,Type of Activity,Type of beneficiaries,# of beneficiaries,Location,Province,Implementation period (start),Implementation_period,Implementing Partner,Remark
AyahASI dan UNICEF,Psychosocial support,"Number of children, parents and primary caregivers provided with community based mental health and psychosocial support.",Capacity building activities,Individual,,National,DKI JAKARTA,28 November 2020,Preparation,,Webinar: Peran Ayah di Masa Pandemi: Menyeimbangkan Hobby dan Pengasuhan
Caritas Indonesia,Health,Number of healthcare facilities staff and community health workers provided with Personal Protective Equipment (PPE).,institutional support,Institutions,71062,National,DKI JAKARTA,March,ongoing,,
Dompet Dhuafa,Psychosocial Support,"Number of children, parents and primary caregivers provided with community based mental health and psychosocial support.",community assistance,Individual,8111,National,DKI JAKARTA,,,,
Emergency Pedagogy - PLAN,Psychosocial support,"Number of children, parents and primary caregivers provided with community based mental health and psychosocial support.",Other,Individual,,National,DKI JAKARTA,Starting December 2020,Ongoing,,Facebook Group for Psychosocial Support Community | https://www.facebook.com/groups/177982927369549/?ref=share
Human Initiative,Health,Number of healthcare facilities staff and community health workers provided with Personal Protective Equipment (PPE).,institutional support,Institutions,38910,National,DKI JAKARTA,May,ongoing,,
IOM,Health,Number of healthcare facilities staff and community health workers provided with Personal Protective Equipment (PPE).,institutional support,Individual,544000,National,DKI JAKARTA,April,ongoing,Government,"IOM with BNPB, MOH, and Local Health Departments"
Kemdikbud RI dan KPCPEN,Education / Psychosocial support,"Number of children, parents and primary caregivers provided with community based mental health and psychosocial support.",Other,Individual,,National,DKI JAKARTA,,Ongoing,,Bantuan Kuota Data Internet dan Bantuan Subsidi Upah (BSU) disalurkan bagi para guru di Indonesia
"Kemenkes, WHO, ITAGI, dan UNICEF",Psychosocial support,"Number of children, parents and primary caregivers provided with community based mental health and psychosocial support.",Other,Individual,,National,DKI JAKARTA,19-30 September 2020,Completed,,"COVID-19 vaccine acceptance survey
Link: https://covid19.go.id/p/hasil-kajian/covid-19-vaccine-acceptance-survey-indonesia"
Kementerian PPN / Bappenas RI,Psychosocial support,"Number of health workers trained on (or health facilities supported on) surveillance, rapid response, MHPSS, and case management.",Capacity building activities,Individual,,National,DKI JAKARTA,26 November,Completed,,Webinar: Solidaritas dan Kerukunan Antarumat sebagai Perwujudan SDG16 Indonesia untuk Bangkit dari COVID-19
Klaster Nasional Pengungsian dan Perlindungan,Psychosocial support,"Number of children, parents and primary caregivers provided with community based mental health and psychosocial support.",Other,Individual,,NAtional,DKI JAKARTA,10 dan 17 December 2020,Upcoming / Preparation,,"SERIAL PELATIHAN DARING BAGI KLASTER NASIONAL PENGUNGSIAN DAN PERLINDUNGAN,PERLINDUNGAN DALAM KESIAPSIAGAAN BENCANA DAN PANDEMI COVID-19: Dukungan Psikososial dan Standar Minimum Perlindungan Anak"
